#: table_doi: 10.17182/hepdata.91235.v1/t1
#: name: Table1
#: description: Observed and expected upper limits at 95% CL on the product of the Higgs boson production cross section and B(h->aa->mumubb)
#: data_file: table1.yaml
#: keyword observables: SIG
#: keyword phrases: Beauty | Bottom | Cross Section | Decay | Di-Muon Production | Higgs | Supersymmetry | BSM | NMSSM | 2HDM+S | Inclusive | CMS | LHC | CERN
#: keyword cmenergies: 13000
#: keyword reactions: P P --> HIGGS --> BQ BQBAR MU+ MU-
#: ,Expected -2 sigma
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,2.911
20.5,3.0345
21.0,3.105
21.5,3.1897
22.0,3.261
22.5,3.3476
23.0,3.4352
23.5,3.4937
24.0,3.5521
24.5,3.627
25.0,3.7323
25.5,3.7918
26.0,3.8513
26.5,3.9289
27.0,4.0224
27.5,4.098
28.0,4.1585
28.5,4.2542
29.0,4.3152
29.5,4.4123
30.0,4.4892
30.5,4.5661
31.0,4.6276
31.5,4.7275
32.0,4.805
32.5,4.8825
33.0,5.0003
33.5,5.0628
34.0,5.141
34.5,5.2191
35.0,5.2972
35.5,5.3753
36.0,5.4379
36.5,5.516
37.0,5.6392
37.5,5.718
38.0,5.781
38.5,5.8598
39.0,5.9385
39.5,6.0173
40.0,6.0803
40.5,6.1433
41.0,6.2559
41.5,6.3195
42.0,6.383
42.5,6.4465
43.0,6.4583
43.5,6.5418
44.0,6.5735
44.5,6.637
45.0,6.6474
45.5,6.7005
46.0,6.7323
46.5,6.7104
47.0,6.7419
47.5,6.7958
48.0,6.7419
48.5,6.7419
49.0,6.7192
49.5,6.7419
50.0,6.6567
50.5,6.6567
51.0,6.6254
51.5,6.5942
52.0,6.5317
52.5,6.4692
53.0,6.4379
53.5,6.355
54.0,6.2418
54.5,6.1496
55.0,6.0881
55.5,6.0112
56.0,5.9344
56.5,5.7942
57.0,5.718
57.5,5.5951
58.0,5.5044
58.5,5.4137
59.0,5.2936
59.5,5.2186
60.0,5.1004
60.5,5.026
61.0,4.8802
61.5,4.6001
62.0,4.0744
62.5,3.5083

#: ,Expected -1 sigma
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,4.2693
20.5,4.4061
21.0,4.5397
21.5,4.6404
22.0,4.7208
22.5,4.8227
23.0,4.9251
23.5,5.009
24.0,5.0928
24.5,5.1755
25.0,5.301
25.5,5.3855
26.0,5.47
26.5,5.5545
27.0,5.6607
27.5,5.7671
28.0,5.8523
28.5,5.9599
29.0,6.0454
29.5,6.154
30.0,6.2612
30.5,6.3684
31.0,6.4939
31.5,6.5646
32.0,6.6722
32.5,6.821
33.0,6.9133
33.5,7.0418
34.0,7.1077
34.5,7.2591
35.0,7.3678
35.5,7.4764
36.0,7.5634
36.5,7.6721
37.0,7.8093
37.5,7.9183
38.0,8.0056
38.5,8.1147
39.0,8.2237
39.5,8.3328
40.0,8.4201
40.5,8.5073
41.0,8.5756
41.5,8.7136
42.0,8.7497
42.5,8.8367
43.0,8.9436
43.5,9.0201
44.0,9.0638
44.5,9.1247
45.0,9.2053
45.5,9.239
46.0,9.2828
46.5,9.2926
47.0,9.3362
47.5,9.3704
48.0,9.3362
48.5,9.3362
49.0,9.3456
49.5,9.3362
50.0,9.2586
50.5,9.2586
51.0,9.2152
51.5,9.1717
52.0,9.0848
52.5,8.9978
53.0,8.9544
53.5,8.8782
54.0,8.7592
54.5,8.6297
55.0,8.5435
55.5,8.4356
56.0,8.3277
56.5,8.168
57.0,8.0605
57.5,7.9235
58.0,7.795
58.5,7.6665
59.0,7.5313
59.5,7.4246
60.0,7.2906
60.5,7.1843
61.0,7.0091
61.5,6.6068
62.0,5.824
62.5,5.063

#: ,Median
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,6.7746
20.5,6.9359
21.0,7.0972
21.5,7.2263
22.0,7.3231
22.5,7.4521
23.0,7.5811
23.5,7.7102
24.0,7.8392
24.5,7.936
25.0,8.0973
25.5,8.2263
26.0,8.3554
26.5,8.4522
27.0,8.5812
27.5,8.7425
28.0,8.8715
28.5,9.0006
29.0,9.1296
29.5,9.2587
30.0,9.42
30.5,9.5813
31.0,9.7103
31.5,9.8393
32.0,10.001
32.5,10.162
33.0,10.323
33.5,10.452
34.0,10.614
34.5,10.775
35.0,10.936
35.5,11.097
36.0,11.227
36.5,11.388
37.0,11.549
37.5,11.71
38.0,11.839
38.5,12.001
39.0,12.162
39.5,12.323
40.0,12.452
40.5,12.581
41.0,12.711
41.5,12.84
42.0,12.969
42.5,13.098
43.0,13.227
43.5,13.291
44.0,13.356
44.5,13.485
45.0,13.614
45.5,13.614
46.0,13.678
46.5,13.743
47.0,13.807
47.5,13.807
48.0,13.807
48.5,13.807
49.0,13.872
49.5,13.807
50.0,13.743
50.5,13.743
51.0,13.678
51.5,13.614
52.0,13.485
52.5,13.356
53.0,13.291
53.5,13.227
54.0,13.098
54.5,12.904
55.0,12.775
55.5,12.614
56.0,12.452
56.5,12.259
57.0,12.098
57.5,11.936
58.0,11.743
58.5,11.549
59.0,11.388
59.5,11.227
60.0,11.065
60.5,10.904
61.0,10.678
61.5,10.065
62.0,8.8393
62.5,7.7424

#: ,Expected 1 sigma
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,11.149
20.5,11.359
21.0,11.567
21.5,11.662
22.0,11.818
22.5,12.027
23.0,12.235
23.5,12.32
24.0,12.526
24.5,12.681
25.0,12.842
25.5,13.047
26.0,13.218
26.5,13.371
27.0,13.541
27.5,13.761
28.0,13.964
28.5,14.131
29.0,14.334
29.5,14.536
30.0,14.752
30.5,14.966
31.0,15.168
31.5,15.369
32.0,15.581
32.5,15.833
33.0,16.043
33.5,16.285
34.0,16.494
34.5,16.745
35.0,16.996
35.5,17.202
36.0,17.402
36.5,17.607
37.0,17.856
37.5,18.105
38.0,18.305
38.5,18.554
39.0,18.804
39.5,19.004
40.0,19.203
40.5,19.402
41.0,19.601
41.5,19.851
42.0,19.999
42.5,20.198
43.0,20.344
43.5,20.496
44.0,20.649
44.5,20.795
45.0,20.94
45.5,21.048
46.0,21.148
46.5,21.193
47.0,21.292
47.5,21.347
48.0,21.347
48.5,21.347
49.0,21.337
49.5,21.347
50.0,21.248
50.5,21.193
51.0,21.148
51.5,21.048
52.0,20.902
52.5,20.756
53.0,20.602
53.5,20.45
54.0,20.198
54.5,20.002
55.0,19.802
55.5,19.552
56.0,19.302
56.5,19.051
57.0,18.8
57.5,18.55
58.0,18.249
58.5,17.994
59.0,17.743
59.5,17.536
60.0,17.284
60.5,17.076
61.0,16.765
61.5,15.722
62.0,13.878
62.5,12.248

#: ,Expected 2 sigma
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,18.016
20.5,18.658
21.0,18.452
21.5,18.671
22.0,18.758
22.5,19.088
23.0,19.25
23.5,19.447
24.0,19.684
24.5,19.927
25.0,20.113
25.5,20.34
26.0,20.551
26.5,20.789
27.0,21.092
27.5,21.275
28.0,21.589
28.5,21.888
29.0,22.202
29.5,22.515
30.0,22.675
30.5,23.047
31.0,23.357
31.5,23.668
32.0,24.039
32.5,24.191
33.0,24.557
33.5,24.882
34.0,25.247
34.5,25.631
35.0,26.015
35.5,26.379
36.0,26.685
36.5,27.049
37.0,27.297
37.5,27.541
38.0,27.845
38.5,28.224
39.0,28.604
39.5,28.96
40.0,29.263
40.5,29.567
41.0,29.87
41.5,30.197
42.0,30.476
42.5,30.78
43.0,31.059
43.5,31.235
44.0,31.411
44.5,31.689
45.0,31.808
45.5,32.018
46.0,32.169
46.5,32.296
47.0,32.448
47.5,32.473
48.0,32.473
48.5,32.473
49.0,32.574
49.5,32.473
50.0,32.321
50.5,32.296
51.0,32.169
51.5,32.018
52.0,31.739
52.5,31.46
53.0,31.283
53.5,31.107
54.0,30.78
54.5,30.372
55.0,30.069
55.5,29.689
56.0,29.309
56.5,29.019
57.0,28.637
57.5,28.255
58.0,27.933
58.5,27.493
59.0,27.109
59.5,26.745
60.0,26.361
60.5,26.122
61.0,25.722
61.5,24.095
62.0,21.292
62.5,18.867

#: ,Observed
#: RE,P P --> HIGGS --> BQ BQBAR MU+ MU-
#: SQRT(S) [GeV],13000.0
m(a) [GeV],95% CL upper limit on sigma(pp->h) * B(h -> aa -> bb mumu) [fb]
20.0,4.6852
20.5,9.9514
21.0,7.7025
21.5,6.9612
22.0,18.007
22.5,19.279
23.0,7.8966
23.5,5.3052
24.0,6.5893
24.5,10.517
25.0,11.159
25.5,4.9249
26.0,5.0414
26.5,6.5351
27.0,7.5201
27.5,4.7181
28.0,7.7764
28.5,11.614
29.0,9.6179
29.5,10.29
30.0,9.3094
30.5,6.5603
31.0,8.3269
31.5,6.2136
32.0,5.9653
32.5,12.093
33.0,17.213
33.5,13.469
34.0,8.2465
34.5,6.9007
35.0,13.795
35.5,18.779
36.0,16.214
36.5,13.838
37.0,11.132
37.5,15.265
38.0,17.222
38.5,16.336
39.0,17.653
39.5,19.926
40.0,22.548
40.5,22.523
41.0,16.364
41.5,12.716
42.0,11.918
42.5,10.344
43.0,10.379
43.5,11.795
44.0,9.9043
44.5,7.7739
45.0,11.306
45.5,16.284
46.0,17.513
46.5,12.08
47.0,9.9229
47.5,12.795
48.0,20.933
48.5,30.3
49.0,33.225
49.5,30.678
50.0,23.565
50.5,14.824
51.0,15.563
51.5,18.629
52.0,18.901
52.5,15.764
53.0,12.493
53.5,11.448
54.0,11.459
54.5,10.934
55.0,9.8012
