#: table_doi: 10.17182/hepdata.83662.v2/t1
#: name: Table 1
#: description: Expected and observed limits on vector-like B-quark pair production as a function of mass, assuming the branching ratios expected in the singlet model.
#: data_file: Limit_BB_Syst_simple.yaml
#: keyword reactions: P P --> B B
#: keyword cmenergies: 13000.0
#: keyword phrases: vector-like B-quark
#: LUMINOSITY [fb$^{-1}$],36.1
#: Limit,Observed
#: SQRT(S) [GeV],13000
Mass [GeV],Cross section upper limit at 95% CL [pb]
500,0.274603
600,0.144474
700,0.086666
750,0.0758222
800,0.0604647
850,0.0540307
900,0.0516276
950,0.043992
1000,0.0437001
1050,0.0406807
1100,0.0380333
1150,0.0373281
1200,0.0355934
1300,0.0349529
1400,0.0351892

#: LUMINOSITY [fb$^{-1}$],36.1
#: Limit,Expected
#: SQRT(S) [GeV],13000
Mass [GeV],Cross section upper limit at 95% CL [pb],1 sigma +,1 sigma -,2 sigma +,2 sigma -
500,0.230367,0.0976478,-0.0643749,0.22729,-0.106723
600,0.128982,0.0542921,-0.0360433,0.125407,-0.0597539
700,0.0798167,0.0334527,-0.0223044,0.0772479,-0.036977
750,0.0695393,0.0291129,-0.0194324,0.0671351,-0.0322157
800,0.0562355,0.0235606,-0.0157147,0.0543299,-0.0260525
850,0.0510196,0.0212596,-0.0142571,0.0488746,-0.023636
900,0.0485114,0.0200602,-0.0135563,0.0460395,-0.0224741
950,0.0421458,0.0175345,-0.0117774,0.0403395,-0.0195251
1000,0.0418795,0.0172983,-0.011703,0.0396933,-0.0194017
1050,0.0394737,0.0162598,-0.0110307,0.0372346,-0.0182871
1100,0.0364613,0.0149951,-0.0101889,0.0343453,-0.0168916
1150,0.0358757,0.0146884,-0.0100253,0.0335839,-0.0166203
1200,0.0341716,0.0140145,-0.00954908,0.0320478,-0.0158308
1300,0.0335482,0.0137749,-0.00937488,0.0315104,-0.015542
1400,0.0340436,0.0137425,-0.00951331,0.0313716,-0.0157715

